Timestamp,UserID,Action
2025-12-12 13:03:20,S001,LOGIN
2025-12-12 13:03:57,S001,LOGOUT
2025-12-12 13:13:53,S001,LOGIN
2025-12-12 13:14:12,S001,LOGOUT
2025-12-12 13:16:46,S001,LOGIN
2025-12-12 13:20:22,S001,LOGOUT
2025-12-12 13:20:47,S001,LOGIN
2025-12-12 13:21:30,S001,LOGOUT
2025-12-12 13:25:09,S001,LOGIN
2025-12-12 13:25:26,S001,LOGOUT
2025-12-12 13:27:17,S001,LOGIN
2025-12-12 13:28:01,S001,LOGOUT
2025-12-12 13:28:16,S001,LOGIN
2025-12-12 13:32:00,S001,LOGOUT
2025-12-12 13:32:32,S001,LOGIN
2025-12-12 13:33:38,S001,LOGOUT
2025-12-12 13:34:10,S001,LOGIN
2025-12-12 13:36:22,S001,LOGOUT
2025-12-12 13:37:10,S001,LOGIN
2025-12-12 13:38:18,S001,LOGOUT
2025-12-12 13:38:34,S002,LOGIN
2025-12-12 13:43:33,S002,LOGOUT
2025-12-12 13:45:12,S001,LOGIN
2025-12-12 13:45:41,S001,LOGOUT
2025-12-12 13:48:20,S001,LOGIN
2025-12-12 13:48:38,S001,LOGOUT
2025-12-12 14:12:27,S001,LOGIN
2025-12-12 14:12:35,S001,LOGOUT
2025-12-12 14:12:52,S001,LOGIN
2025-12-12 14:13:59,S001,LOGOUT
2025-12-12 14:16:29,AO001,LOGIN
2025-12-12 14:28:25,AO001,LOGOUT
2025-12-12 14:30:10,S001,LOGIN
2025-12-12 14:30:29,S001,LOGOUT
2025-12-12 14:31:00,S001,LOGIN
2025-12-12 14:35:20,S001,LOGOUT
2025-12-12 14:36:42,S001,LOGIN
2025-12-12 14:36:54,S001,LOGOUT
2025-12-12 14:38:20,S001,LOGIN
2025-12-12 14:39:43,S001,LOGOUT
2025-12-12 14:42:06,S001,LOGIN
2025-12-12 15:18:43,S001,LOGIN
2025-12-12 15:19:00,S001,LOGOUT
2025-12-12 15:33:06,S001,LOGIN
2025-12-12 15:33:45,S001,LOGOUT
2025-12-12 15:36:00,S001,LOGIN
2025-12-12 15:36:14,S001,LOGOUT
2025-12-12 15:38:03,S001,LOGIN
2025-12-12 15:39:04,S001,LOGOUT
